LOOKUP,LOOKUP_CODE,LOOKUP_DESCRIPTION
stud_debt_recon_balance_month_officer,Mafikeng,22214585
stud_debt_recon_balance_month_officer,NWU,24102687
stud_debt_recon_balance_month_officer,Potchefstroom,22214585
stud_debt_recon_balance_month_officer,Vaal Triangle,13163140
stud_debt_recon_balance_month_supervisor,Mafikeng,
stud_debt_recon_balance_month_supervisor,NWU,11987774
stud_debt_recon_balance_month_supervisor,Potchefstroom,20412312
stud_debt_recon_balance_month_supervisor,Vaal Triangle,
stud_debt_recon_burs_balance_month_officer,Mafikeng,22214585
stud_debt_recon_burs_balance_month_officer,NWU,24102687
stud_debt_recon_burs_balance_month_officer,Potchefstroom,22214585
stud_debt_recon_burs_balance_month_officer,Vaal Triangle,13163140
stud_debt_recon_burs_balance_month_supervisor,Mafikeng,
stud_debt_recon_burs_balance_month_supervisor,NWU,11987774
stud_debt_recon_burs_balance_month_supervisor,Potchefstroom,20412312
stud_debt_recon_burs_balance_month_supervisor,Vaal Triangle,
stud_debt_recon_burs_test_diff_campus_officer,Mafikeng,22214585
stud_debt_recon_burs_test_diff_campus_officer,NWU,24102687
stud_debt_recon_burs_test_diff_campus_officer,Potchefstroom,22214585
stud_debt_recon_burs_test_diff_campus_officer,Vaal Triangle,13163140
stud_debt_recon_burs_test_diff_campus_supervisor,Mafikeng,
stud_debt_recon_burs_test_diff_campus_supervisor,NWU,11987774
stud_debt_recon_burs_test_diff_campus_supervisor,Potchefstroom,20412312
stud_debt_recon_burs_test_diff_campus_supervisor,Vaal Triangle,
stud_debt_recon_test_amount_differ_officer,Mafikeng,22214585
stud_debt_recon_test_amount_differ_officer,NWU,24102687
stud_debt_recon_test_amount_differ_officer,Potchefstroom,22214585
stud_debt_recon_test_amount_differ_officer,Vaal Triangle,13163140
stud_debt_recon_test_amount_differ_supervisor,Mafikeng,
stud_debt_recon_test_amount_differ_supervisor,NWU,11987774
stud_debt_recon_test_amount_differ_supervisor,Potchefstroom,20412312
stud_debt_recon_test_amount_differ_supervisor,Vaal Triangle,
stud_debt_recon_test_ingl_novss_officer,Mafikeng,22214585
stud_debt_recon_test_ingl_novss_officer,NWU,24102687
stud_debt_recon_test_ingl_novss_officer,Potchefstroom,22214585
stud_debt_recon_test_ingl_novss_officer,Vaal Triangle,13163140
stud_debt_recon_test_ingl_novss_supervisor,Mafikeng,
stud_debt_recon_test_ingl_novss_supervisor,NWU,11987774
stud_debt_recon_test_ingl_novss_supervisor,Potchefstroom,20412312
stud_debt_recon_test_ingl_novss_supervisor,Vaal Triangle,
stud_debt_recon_test_invss_nogl_officer,Mafikeng,22214585
stud_debt_recon_test_invss_nogl_officer,NWU,24102687
stud_debt_recon_test_invss_nogl_officer,Potchefstroom,22214585
stud_debt_recon_test_invss_nogl_officer,Vaal Triangle,13163140
stud_debt_recon_test_invss_nogl_supervisor,Mafikeng,
stud_debt_recon_test_invss_nogl_supervisor,NWU,11987774
stud_debt_recon_test_invss_nogl_supervisor,Potchefstroom,20412312
stud_debt_recon_test_invss_nogl_supervisor,Vaal Triangle,
